Sales Increase,Date,Years of Servicing Client,Overall Discount,Sales Rep Seniority,Sales Client per month,Family Brand,Region,% product demonstration,Nb of Brands,Nb Orders with litigation,Nb of visits to client,Clients Visited per m by SalesRep,Nb clients per SalesRep
669,15,1.2,16.79,19.7,441,No,Large Cities,10.75,1,0,13,24,108
233,122,1.2,28.2,19.7,1759,No,South East,38.48,9,20,13,36,153
-321,6,1.3,52.67,2,381,Global,Large Cities,33.27,3,50,8,42,124
-51,93,1.3,64.46,2.2,70,No,South West,74.24,4,0,22,0,
-213,22,1.3,39.29,3,4999,REGIONALE,North,64.64,11,25,18,50,223
340,52,1.3,50,3.5,152,No,South West,100,2,0,19,34,117
1185,113,1.3,22,4.7,1506,No,Large Cities,7.44,4,0,25,42,124
2323,114,1.3,23.92,4.7,2312,No,Large Cities,13.03,8,0,25,42,124
4397,10,1.3,25.14,19.7,6775,No,South East,8.2,10,3.22,32,24,120
1881,86,1.3,22.93,19.7,1952,No,South East,14.84,8,20,8,40,208
-20,33,1.4,50,3.6,101,No,Large Cities,100,1,0,11,61,178
-1193,23,1.4,41.13,4,11373,No,Large Cities,33.5,10,0,17,37,156
1793,79,1.4,29.66,4.7,3149,No,Large Cities,46.92,6,0,31,42,124
431,101,1.4,45.1,6.8,241,No,South West,36.67,3,0,19,39,86
26,24,1.4,26.91,7.6,592,No,Large Cities,54.69,4,0,8,24,84
225,143,1.4,38.75,8.3,3859,Brand,North,9.37,15,0,16,,
462,76,1.4,38.86,12.4,313,No,South West,36.13,3,0,10,34,79
2647,74,1.4,23.47,19.7,3143,No,South East,8.3,11,0,10,21,129
-10,128,1.4,28.65,19.7,2990,No,South West,10.06,11,57.14,18,19,107
5500,125,1.4,20.46,19.7,8343,No,East,22.4,13,0,20,21,95
1095,70,1.4,39.8,19.7,1269,No,South East,25.18,7,0,15,21,113
1040,1,1.4,15.5,19.7,850,No,Large Cities,41.01,4,0,11,24,108
3420,65,1.5,33.05,3,4556,Brand,North,11.69,10,16.66,20,46,207
1225,33,1.5,32.98,3.4,3888,No,West,49.57,8,21.42,20,50,95
436,162,1.5,12.11,3.6,283,No,Large Cities,87.88,3,0,8,61,178
845,19,1.5,23.19,4.7,702,No,Large Cities,45.84,3,0,13,42,124
-959,18,1.5,32.46,19.7,1215,No,South East,19.78,6,42.85,12,40,208
-815,157,1.6,47.32,3.4,5600,No,West,33.77,12,0,17,50,95
641,11,1.6,24.94,4.9,1065,No,North,24.71,3,0,8,50,135
2294,52,1.6,26.05,7.6,4490,No,Large Cities,35.92,11,14.28,28,24,84
626,12,1.6,29.55,7.6,541,No,Large Cities,73.82,3,0,5,24,84
864,50,1.6,12.05,19.7,905,No,East,28.34,1,25,9,32,115
1915,98,1.6,25.9,19.7,2059,Brand,South East,29.78,9,0,7,24,120
-4082,34,1.7,45.82,2,6712,Global,South East,54.62,11,20,3,38,136
-672,117,1.7,34.38,19.7,975,No,South East,36.91,5,25,11,21,129
-292,77,1.7,50,19.7,808,Global,South West,100,1,0,15,19,107
-1058,33,1.8,99.49,3,61,No,North,100,2,0,11,46,207
-1514,144,1.8,43.86,3.3,878,No,North,13.29,5,0,16,61,98
328,108,1.8,28.52,4,857,No,Large Cities,29.88,4,0,6,37,156
-1080,84,1.8,43,10.5,876,No,South West,72.02,7,0,26,20,94
1139,83,1.8,53.22,19.5,4507,Global,South West,13.97,14,12.5,15,31,101
5067,16,1.8,30,19.5,14928,No,South West,22.97,13,37.5,23,31,101
-2371,20,1.8,42.57,19.7,5053,No,West,23.14,9,12.5,15,29,86
-714,106,1.8,28.81,19.7,808,No,South East,37.32,4,0,7,40,208
-1005,91,1.8,33.31,19.7,999,No,South East,38.51,4,0,8,38,136
107,139,1.8,24.19,19.7,329,Brand,South East,86.2,3,0,4,38,136
1914,69,1.9,25.73,2.7,5374,No,East,11.68,11,0,17,27,56
-1084,3,1.9,28.77,3.4,5748,No,West,24.64,12,11.11,25,50,95
-2381,97,1.9,38.42,4,2660,No,Large Cities,73.47,6,11.11,18,37,156
100,69,1.9,14.96,4.9,125,No,North,100,1,0,3,50,135
-4500,131,1.9,34.91,5.6,13006,No,East,48.5,15,9.09,10,30,138
1139,37,1.9,25.03,7.6,1497,No,Large Cities,40.46,5,0,17,24,84
-4500,49,1.9,45.09,7.7,5892,Brand,South West,31.66,15,0,17,34,105
405,129,1.9,50,7.7,138,No,South West,100,1,0,7,34,105
11,82,1.9,48.27,19.5,1020,Global,South West,45.23,3,0,10,31,101
99,3,1.9,25.04,19.7,5779,No,South East,22.18,12,20,14,38,136
-744,27,1.9,38.46,19.7,755,No,West,52.6,2,0,13,43,133
-2161,132,2,35.97,5.6,6248,No,East,45.66,13,0,20,30,138
858,123,2,34.99,7.7,3197,No,East,31.94,8,0,21,37,134
-117,95,2,50,19.3,791,Global,West,100,1,0,2,30,93
-495,75,2,22.16,19.7,3013,Brand,Large Cities,15.86,13,0,10,24,108
194,60,2,26.7,19.7,4265,No,South East,17.6,12,27.27,18,30,120
271,72,2,23.51,19.7,374,Brand,East,30.06,5,75,9,21,95
496,94,2,18.45,19.7,495,No,Large Cities,33.05,4,0,10,29,138
465,42,2,45.1,19.7,1094,No,South East,45.03,4,25,9,21,129
-765,54,2,32.81,19.7,1116,No,South East,58.57,4,0,7,40,208
490,161,2.1,27.44,2,1790,No,South East,51.6,1,0,11,,
-4500,39,2.1,29.85,2.3,9375,No,West,38.89,15,7.14,12,14,19
-926,21,2.1,34.8,7.4,1740,No,Large Cities,60.17,9,0,15,32,144
-1689,41,2.1,28.36,19.7,1750,No,Large Cities,46.05,11,0,14,24,108
478,18,2.1,44.5,19.7,293,No,Large Cities,47.15,3,0,8,24,78
164,63,2.2,43.96,2.1,116,No,North,100,1,0,10,,
-770,57,2.2,32.03,3.4,2675,No,West,30.53,10,7.69,18,50,95
-4,98,2.2,43.05,7.4,1525,Global,Large Cities,62.89,2,0,8,32,144
-1466,95,2.2,24.61,15.9,1571,No,East,10.55,4,0,12,34,115
3684,29,2.2,28.49,19.3,10122,No,West,28.6,14,6.25,22,30,93
-413,97,2.2,34.57,19.7,986,No,South East,17.28,4,25,11,21,129
-4225,93,2.2,29.51,19.7,10055,No,South East,19.68,14,27.27,10,38,136
5500,20,2.2,40.81,19.7,10279,Global,South West,28.88,6,0,18,19,107
2258,132,2.2,28.16,19.7,3020,No,South East,30.82,12,0,10,40,208
-4500,76,2.2,31.42,19.7,10438,No,Large Cities,40.93,13,8.33,14,29,138
-407,157,2.2,38.11,19.7,2335,No,Large Cities,44.85,6,16.66,17,29,138
-2241,136,2.2,22.93,19.7,1623,No,East,45.86,1,0,7,20,146
386,62,2.2,50,19.7,191,No,East,100,2,0,12,21,95
193,144,2.3,23.46,2.3,4063,No,West,14.8,11,9.09,10,14,19
-2403,96,2.3,37.1,3,1683,No,North,48.33,7,25,12,50,223
-3419,66,2.3,26.04,3.4,2135,No,West,14.68,11,14.28,24,50,95
359,72,2.3,24.95,3.5,451,No,North,36.87,2,0,13,55,99
-391,113,2.3,34.44,5.6,1827,Global,East,35.98,4,14.28,10,30,138
364,47,2.3,30.18,7.4,155,No,Large Cities,100,1,0,7,32,144
1916,55,2.3,31.02,8.3,4745,No,North,29.78,13,7.14,18,,
260,110,2.3,29.38,8.3,322,Global,North,88.4,3,0,3,,
449,20,2.3,36.25,10.4,981,No,South East,37.04,5,50,9,30,158
1387,149,2.3,25.42,10.4,1722,No,South East,40.75,4,0,7,30,158
-620,48,2.3,18.6,10.5,1343,No,South West,21.21,8,0,21,20,94
267,18,2.3,50,10.5,303,No,South West,100,1,0,9,20,94
947,53,2.3,10.57,19.7,837,No,Large Cities,15.68,5,20,17,24,78
-4500,93,2.3,41.14,19.7,1967,No,East,47.2,8,0,12,32,115
-936,104,2.4,21.71,4.9,2369,No,North,18.24,10,0,13,50,135
-1012,48,2.4,28.59,5.6,1621,No,East,39.23,3,0,12,30,138
874,102,2.4,25.6,7.4,1162,No,Large Cities,33.7,5,0,13,32,144
-1645,45,2.4,27.54,7.7,6282,Brand,South West,9.01,8,0,15,34,105
-1333,44,2.4,44.44,14.6,1755,REGIONALE,South West,84.85,3,0,11,27,74
-522,87,2.4,28.91,16.5,9117,Brand,East,13.25,14,6.66,16,40,129
438,69,2.4,27.67,19.5,3445,No,South West,25.87,12,0,10,31,101
651,148,2.4,28.77,19.7,4213,No,West,23.82,13,14.28,17,29,86
-3808,152,2.5,35.11,2,3066,No,West,19.39,6,50,8,,27
473,6,2.5,33.88,3,1245,Brand,North,18.25,9,16.66,12,46,207
-1099,85,2.5,30.36,3,4702,No,North,25.95,12,26.66,22,50,223
-1587,53,2.5,31.24,4.9,4212,No,North,31.91,5,0,15,50,135
-43,112,2.5,27.63,6.8,2430,No,South West,29.71,8,20,18,39,86
40,127,2.5,36.12,19.7,2762,No,East,31.84,8,0,15,20,146
-678,99,2.5,31.05,19.7,242,No,South East,68.36,1,50,8,36,153
-916,77,2.5,28.99,19.7,840,No,East,75.22,2,0,12,32,115
-801,145,2.6,23.73,2,890,No,North,22.45,4,25,9,,67
-4500,14,2.6,41.98,2,10236,Global,South East,23.66,12,0,3,38,136
-231,145,2.6,17.37,3.6,195,No,Large Cities,43.03,3,0,10,61,178
-300,116,2.6,50,10.5,808,Global,South West,100,1,0,6,20,94
-4500,17,2.6,33.84,15,3233,No,Large Cities,41.4,10,20,16,23,135
789,114,2.6,27.58,15.9,4070,No,East,28.79,11,0,18,34,115
-1569,94,2.6,30.83,16.5,480,No,East,45.32,3,0,8,40,129
-2726,41,2.6,22.72,19.7,2764,No,East,9.33,9,0,15,21,95
-2067,27,2.6,32.92,19.7,3361,No,South East,17.3,12,0,24,21,113
-555,153,2.6,24.22,19.7,2259,No,South East,18.7,8,0,11,21,129
-4107,3,2.6,33.56,19.7,7205,No,South East,31.73,14,17.64,20,38,136
-2614,61,2.7,25.86,2,1069,No,North,27.25,8,25,11,,67
-366,130,2.7,37.77,19.7,9205,No,South East,10.48,12,8.33,24,24,120
2460,38,2.8,25.28,2.3,3097,No,West,18.5,4,11.11,14,14,19
-1376,93,2.8,28.8,3,4295,No,North,25.41,11,33.33,14,46,207
-3645,118,2.8,34.77,3.5,1958,No,South West,45.56,7,0,16,34,117
-458,5,2.8,24,8.3,1561,No,North,16.53,7,0,12,,
-771,48,2.8,49.09,8.3,1102,Brand,North,95.47,2,0,7,,
1133,58,2.8,27.18,15.9,2909,No,East,27.6,9,11.11,11,34,115
-229,63,2.8,33.62,19.7,5236,No,East,15.67,10,0,15,32,115
406,140,2.8,22.77,19.7,1034,No,South East,16.33,5,0,14,36,153
-2835,92,2.8,36.75,19.7,8713,No,South West,19.49,11,5,35,19,107
728,149,2.8,30.01,19.7,548,No,Large Cities,29.59,2,0,13,29,138
-541,4,2.9,23.52,3.3,738,No,North,32.6,4,0,7,61,98
-249,39,2.9,27.73,4.9,2144,No,North,30.5,3,0,12,50,135
577,34,2.9,34.9,7.7,358,No,South West,51.27,5,0,10,34,105
878,84,2.9,37.87,10.4,1660,No,South East,59.03,3,0,9,30,158
-1829,51,2.9,26.12,15.9,2650,No,East,23.34,11,0,17,34,115
201,24,2.9,23.46,15.9,2674,No,East,32.89,7,0,12,34,115
-2185,63,2.9,32.44,19.7,2742,No,Large Cities,26.55,7,0,15,24,78
-4500,120,2.9,28.17,19.7,2243,No,Large Cities,35.12,8,0,14,29,138
-228,115,2.9,27.63,19.7,1474,No,South East,45.43,3,25,9,21,129
811,109,3,24.88,3,2031,No,North,29.04,10,14.28,21,46,207
-872,9,3,27.83,4.6,3773,No,West,8.21,7,0,14,0,44
149,140,3,45.18,10.4,2620,No,South East,25.13,7,20,13,30,158
1617,74,3,30.1,19.7,10015,No,East,24.49,13,0,14,20,146
137,53,3,45.56,19.7,2012,Global,East,50.58,2,0,6,32,115
-198,28,3.1,25.09,3.4,2191,No,West,48.41,6,0,10,50,95
-434,72,3.2,44.75,2.3,574,No,West,91.91,5,0,4,14,19
-2900,60,3.2,27.31,8.3,4116,No,North,36.2,12,0,13,,
-378,131,3.2,30.76,10.4,5659,No,South East,28.92,10,0,12,30,158
632,136,3.2,28.4,10.4,668,No,South East,64.88,1,0,6,30,158
-21,143,3.2,34.04,19.7,2119,Brand,South East,18.76,7,0,20,21,129
340,13,3.3,50,10.4,511,Brand,South East,50,1,0,13,30,158
2009,63,3.3,37.3,19.5,24347,No,South West,14.66,14,0,35,31,101
197,145,3.3,26.21,19.7,2438,No,South East,23.91,8,11.11,17,24,120
1408,147,3.3,31.56,19.7,1626,No,South East,38.51,7,16.66,9,40,208
-235,115,3.4,37.85,2.2,197,No,South West,82.96,1,0,10,0,
60,21,3.4,27.82,3.1,695,No,East,30.08,2,0,14,25,96
430,144,3.4,21.34,19.7,4928,No,South East,2.72,14,9.09,13,21,129
1399,125,3.4,31.16,19.7,7908,No,South East,18.91,13,0,14,21,129
165,89,3.4,30,19.7,126,No,Large Cities,31.66,1,0,7,24,108
-58,4,3.4,24.16,19.7,728,No,South East,73.36,2,0,11,38,136
-694,111,3.5,36.85,2,3630,No,South East,10.48,12,0,11,,
-4500,94,3.5,36.43,7.7,15236,Brand,South West,21.36,12,5.55,22,34,105
-910,132,3.5,47.36,19.7,3834,Global,South West,31.5,7,0,17,51,111
641,109,3.5,30.3,19.7,1044,No,South West,73.44,3,0,9,19,107
-1930,25,3.6,35.28,3,1473,No,North,63.19,6,0,13,46,207
-1153,91,3.6,31.18,6.7,5256,Global,West,12.08,8,0,13,22,48
1047,91,3.6,33.42,8.3,2912,No,North,30.26,5,20,9,,
-2000,137,3.6,28.11,19.7,3317,No,South East,5.24,10,0,18,38,136
1112,3,3.6,20.23,19.7,2054,No,Large Cities,25.35,5,0,11,29,138
-438,119,3.7,20.83,3.1,1725,No,East,17.06,3,25,18,25,96
-766,98,3.7,26.02,4.6,4974,No,West,12.71,9,0,12,0,44
-207,46,3.7,31.18,19.7,1112,No,Large Cities,53.27,6,0,14,29,138
-4500,64,3.8,39.16,8.3,4380,Brand,North,9.8,16,16.66,15,,
-306,88,3.8,23.41,10.4,3646,No,South East,22.95,14,0,9,30,158
381,65,3.8,25.9,19.7,4607,No,South East,12.61,6,8.33,25,21,129
672,22,3.8,27.62,19.7,2746,No,South East,19.83,6,0,13,21,129
-1465,8,3.8,50,19.7,97,No,East,100,1,0,4,32,115
268,25,3.9,50,7.7,337,No,South West,100,1,0,4,34,105
114,148,3.9,26.99,8.3,1774,No,North,26.13,7,0,12,,
774,149,3.9,28.97,19.7,522,No,South East,28.97,3,50,15,21,113
3,9,3.9,39.27,19.7,900,No,Large Cities,35.22,3,0,12,29,138
387,132,3.9,27.36,19.7,746,No,South East,37.77,5,0,10,40,208
-1458,100,3.9,20.75,19.7,1619,No,East,39.62,8,0,14,32,115
-255,162,4,50,2,867,No,South East,100,1,0,5,,
-4202,30,4,37.33,5.7,6683,Brand,South East,6.32,8,0,23,27,95
-2195,62,4,33.65,6.7,3485,Global,West,24.56,11,0,11,22,48
123,14,4,17.02,19.7,3865,Brand,East,10.82,10,0,20,20,146
-2161,25,4,28.43,19.7,3002,No,Large Cities,27.31,11,0,11,24,78
-1021,83,4,56.46,19.7,566,No,South East,42.27,6,0,16,21,113
-366,58,4.1,36.04,3.6,958,No,Large Cities,41.25,3,0,9,61,178
-1130,78,4.1,34.76,6.7,394,No,West,74.5,3,100,14,22,48
-669,106,4.1,20.68,19.5,3266,No,South West,5.96,11,20,13,31,101
871,155,4.1,31.66,19.7,6596,Global,West,10.95,9,12.5,14,36,105
-306,121,4.1,29.06,19.7,1323,No,South East,31.28,7,25,10,40,208
187,49,4.2,50,2.3,190,No,West,100,1,0,2,14,19
-1420,99,4.2,21.44,7.4,2942,No,Large Cities,30.32,15,0,12,32,144
-17,59,4.2,23.76,19.7,2660,No,East,17.87,6,0,21,21,95
-350,11,4.2,22.56,19.7,1417,No,West,20.42,4,0,14,29,86
-824,39,4.2,29.86,19.7,2539,No,South West,23.4,8,0,12,19,107
23,77,4.2,29.58,19.7,821,No,West,32.39,5,0,5,36,105
-209,82,4.2,14.97,19.7,176,No,Large Cities,100,1,0,18,24,108
-1594,18,4.3,29.46,2,1843,No,North,58.22,6,20,12,,67
1156,31,4.3,24.59,4,3038,No,Large Cities,9.44,5,28.57,10,37,156
-1536,16,4.3,38.19,8.3,5392,Brand,North,13.16,4,27.27,18,,
-1919,133,4.3,42.04,10.5,685,Brand,South West,56.46,11,0,6,20,94
3136,136,4.3,31.29,12.4,7378,No,South West,25.85,13,11.11,13,34,79
-99,119,4.3,50,15,1011,No,Large Cities,100,1,0,4,23,135
-4500,62,4.3,36.2,19.7,4947,No,South East,8.81,11,20,3,40,208
740,158,4.3,25.82,19.7,2346,No,West,15.66,7,20,12,29,86
262,106,4.3,26.89,19.7,1672,No,East,32.35,6,0,13,20,146
751,45,4.4,21.49,5.6,2308,No,East,16.47,13,0,13,30,138
1683,101,4.4,23.34,15.9,3333,No,East,9.81,11,16.66,14,34,115
-712,114,4.4,33.18,19.7,7907,Brand,South East,6.9,14,8.33,19,21,129
-4500,152,4.4,32.07,19.7,3465,Brand,South East,6.9,5,16.66,17,36,153
-248,35,4.4,37.67,19.7,2379,Brand,South East,13.94,9,12.5,12,21,129
629,73,4.4,29.41,19.7,1430,No,South East,37.04,6,0,10,21,129
-50,43,4.5,50,10.4,606,No,East,100,1,0,8,37,124
-319,46,4.5,22.9,19.7,3911,No,East,9.23,9,0,17,21,95
-1537,27,4.5,23,19.7,2436,No,Large Cities,11.25,8,16.66,12,24,78
15,70,4.6,26.07,4,771,No,Large Cities,61.59,2,0,5,37,156
-420,136,4.6,27.2,7.6,1787,No,Large Cities,24.22,8,33.33,34,24,84
-3960,138,4.6,42.29,19.7,19116,Global,South East,24.5,17,26.31,17,38,136
-1022,147,4.7,27.99,4,427,No,Large Cities,47.04,1,0,8,37,156
704,152,4.7,24.01,19.7,6381,No,South East,9.97,11,0,37,21,113
595,95,4.7,44.36,19.7,1100,No,Large Cities,44.36,3,0,9,29,138
693,36,4.8,35.43,10.4,5225,Brand,East,5.52,9,6.25,28,37,124
2628,107,4.8,37.97,10.4,9956,Brand,East,22.61,13,5.88,18,37,124
705,13,4.8,31.65,19.7,2513,Brand,East,10.19,7,0,13,20,146
-2691,111,4.8,24.76,19.7,2999,No,East,12.69,8,16.66,15,32,115
1681,6,4.8,19.97,19.7,1514,No,South East,16.38,3,0,8,36,153
151,47,4.8,31.32,19.7,6360,No,South East,16.69,12,14.28,16,40,208
1093,124,4.8,36.75,19.7,13171,Brand,South East,26.91,16,11.11,21,36,153
286,80,4.8,39.57,19.7,1461,Global,South East,87.52,1,25,6,24,120
-1061,42,4.9,34.25,2.1,1576,No,North,73.31,5,0,14,,
84,31,4.9,32.95,3,5306,No,North,32.24,11,14.28,15,50,223
2279,161,4.9,23.87,4,2002,No,Large Cities,22.3,4,0,6,37,156
189,34,4.9,23.42,4.9,1121,No,North,14.2,4,20,11,50,135
628,138,4.9,30.68,4.9,5104,No,North,29.43,16,6.66,14,50,135
-665,86,4.9,47.86,4.9,1651,Global,North,100,1,0,9,50,135
2053,115,4.9,37.14,5.6,8939,No,East,22.07,15,13.33,15,30,138
-2882,144,4.9,50,5.7,362,No,South East,100,1,0,15,27,95
-1257,27,4.9,37.12,10.4,3752,Brand,East,20.66,9,0,21,37,124
-3840,86,4.9,33.09,10.5,3018,No,South West,44.63,7,0,12,20,94
-1318,131,4.9,24.12,10.7,500,No,Large Cities,16.66,4,0,13,21,86
-904,75,4.9,28.76,15.9,1974,No,East,35.26,7,0,14,34,115
1184,109,4.9,25.8,19.7,3208,No,South East,18.55,10,14.28,15,21,129
-15,78,4.9,33.33,19.7,808,No,South West,100,1,0,4,19,107
599,12,5,22.17,5.7,951,No,South East,18.16,5,0,16,27,95
562,71,5,22.49,5.7,1371,No,South East,22.76,6,0,15,27,95
-74,30,5,43.27,7.6,886,No,Large Cities,77.65,3,0,7,24,84
1189,47,5,32.35,19.7,14475,Brand,East,23.68,15,21.73,28,20,146
-251,56,5,25.13,19.7,5031,No,West,26.26,9,10,12,36,105
298,38,5.1,29.55,2,348,No,South East,54.14,2,0,3,,
1738,13,5.1,24.55,4.6,6022,No,West,18.99,11,0,15,0,44
-1311,116,5.1,26.41,7.6,716,No,Large Cities,41.17,6,0,17,24,84
1032,116,5.1,30.34,19.7,6169,No,South East,37.53,9,28.57,12,36,153
-868,147,5.1,32.88,19.7,802,No,West,68.31,4,0,8,29,86
181,133,5.2,50,2,190,No,South East,100,1,0,6,,
-1745,52,5.2,33.6,2.3,2400,No,West,67.75,5,0,10,14,19
-188,80,5.2,33,3,481,No,North,100,1,0,10,50,223
-262,62,5.2,25.71,3.5,956,No,South West,19.09,5,14.28,16,53,81
658,112,5.2,24.84,3.6,2296,No,Large Cities,37.63,11,16.66,17,61,178
-629,13,5.2,29.34,7.4,1134,No,Large Cities,32.21,4,25,20,32,144
196,161,5.2,29.95,10.4,283,Global,South East,100,1,0,10,30,158
2202,61,5.2,15.63,19.7,3249,No,East,9.36,9,0,7,32,115
-564,111,5.3,30.62,3,1067,No,North,32.21,5,0,9,46,207
-4500,61,5.3,32.51,4.6,7089,No,West,25.46,11,10,12,0,44
-1461,160,5.3,24.23,7.4,2067,No,Large Cities,10.5,8,0,14,32,144
118,23,5.4,45.17,2.3,534,No,West,27.31,3,50,11,14,19
-492,40,5.4,50,5.6,606,No,East,100,1,0,4,30,138
581,94,5.4,31.01,10.4,436,No,South East,55.45,2,0,10,30,158
267,46,5.4,50,10.4,303,No,South East,100,1,0,9,30,158
-673,40,5.4,30.86,19.7,2123,No,South East,1.9,8,11.11,16,36,153
84,90,5.4,22.13,19.7,2494,No,South East,12.14,8,0,18,36,153
-44,130,5.4,30.49,19.7,3905,Brand,East,27.35,15,8.33,14,20,146
622,162,5.4,25.58,19.7,480,No,South East,40.4,1,0,8,38,136
351,24,5.5,40.02,2.3,457,No,West,100,1,0,6,14,19
-1382,140,5.5,33.48,3,8302,Brand,North,16.34,14,29.41,26,46,207
-2062,143,5.5,40.54,4,2390,No,Large Cities,53.13,9,0,10,37,156
-2156,15,5.5,50,4.9,808,Global,North,100,1,0,3,50,135
-1152,5,5.5,25.76,19.7,3124,Brand,East,25.39,12,16.66,18,32,115
-70,46,5.6,22.69,3,1100,No,North,8.28,5,20,12,46,207
-56,87,5.6,28.32,19.5,6915,No,South West,23.49,12,9.09,11,31,101
1415,73,5.6,35.54,19.7,4067,No,East,21.6,6,0,19,32,115
407,118,5.6,23.91,19.7,528,No,South East,62.44,1,50,15,30,120
742,37,5.7,23.75,3.5,1422,No,North,15.27,6,0,14,55,99
-3517,51,5.7,33.29,6.7,3015,Global,West,23.24,7,0,12,22,48
85,97,5.7,27.74,10.4,6640,Brand,East,5.15,9,26.66,17,37,124
-2661,47,5.7,36.92,19.5,6909,No,South West,39.55,10,10,13,31,101
-401,156,5.7,28.61,19.7,2640,No,South East,5.54,10,20,7,40,208
678,49,5.7,26.78,19.7,4244,No,South East,13.58,10,11.76,22,21,113
12,124,5.8,38.24,2.7,1224,No,East,30.4,8,0,13,27,56
298,104,5.8,50,3.5,404,No,South West,100,1,0,6,34,117
219,85,5.8,27.29,7.6,3218,No,Large Cities,43.49,8,22.22,21,24,84
3031,77,5.8,23.78,10.4,6590,No,South East,11.46,10,22.22,14,30,158
