Sales Increase,Date,Years of Servicing Client,Overall Discount,Sales Rep Seniority,Sales Client per month,Family Brand,Region,% product demonstration,Nb of Brands,Nb Orders with litigation,Nb of visits to client,Clients Visited per m by SalesRep,Nb clients per SalesRep
-550,53,5.8,27.87,10.4,4135,No,South East,11.84,10,50,15,30,158
100,85,5.9,50,2.7,606,No,East,100,1,0,7,27,56
555,69,5.9,27.42,4.7,5640,No,Large Cities,24.11,10,10,29,42,124
-904,120,5.9,25.77,19.5,3110,No,South West,17.47,12,20,9,31,101
1135,141,6,38.38,5.7,25201,Brand,South East,25.28,11,6,63,27,95
-763,130,6,32.33,19.7,2189,No,South East,5.95,9,0,11,40,208
1139,135,6,7.73,19.7,1074,No,East,8.35,6,0,12,21,95
-2943,155,6,24.56,19.7,3279,No,South East,10.05,12,0,13,21,129
103,29,6,28.34,19.7,6466,No,South West,11.02,13,0,15,19,107
247,26,6,60.89,19.7,888,No,South East,40.77,3,16.66,13,21,113
55,62,6.1,28.65,4.7,1778,No,Large Cities,29.76,9,0,23,42,124
504,37,6.1,21.69,19.7,2064,No,West,13.08,3,25,8,36,105
-4500,26,6.1,44.94,19.7,763,Brand,West,47.58,6,0,10,29,86
-1025,19,6.2,29.08,3.4,5555,No,West,19.22,13,5.26,24,50,95
424,146,6.2,39.86,7.4,368,No,Large Cities,100,3,0,11,32,144
1385,59,6.2,22.97,10.4,5033,No,South East,2.12,7,0,10,30,158
-408,127,6.2,32.31,19.7,3789,No,South East,31.38,8,6.66,19,36,153
-4500,52,6.3,22.64,2,1643,No,North,27.97,9,0,11,,67
-4500,63,6.3,33.12,2.3,5852,No,West,42.22,14,0,29,14,19
-9,107,6.3,35.19,19.7,5584,No,South West,1.4,7,11.11,0,51,111
-885,93,6.3,32.57,19.7,6914,No,West,32.26,14,25,16,36,105
171,108,6.3,30.13,19.7,8857,No,East,37.04,14,0,18,32,115
406,150,6.3,50,19.7,139,No,North,100,1,0,7,30,102
-4500,70,6.4,48.01,19.7,3481,Brand,West,45.8,11,0,15,29,86
188,150,6.4,40.56,19.7,564,No,South East,59.68,3,50,3,38,136
-249,35,6.5,32.06,3.4,10243,No,West,17.19,12,6.66,18,50,95
594,57,6.5,21.71,10.4,620,No,East,70.45,3,0,6,37,124
-311,163,6.5,26.82,19.3,3367,No,West,32.8,6,0,9,30,93
133,118,6.5,21.69,19.7,2645,No,Large Cities,32.77,10,0,11,24,108
227,117,6.5,50,19.7,353,Global,South East,100,2,0,7,40,208
-4500,134,6.6,46.62,2,18314,Global,South East,49.92,15,0,6,24,120
153,127,6.6,22.53,15,3094,No,Large Cities,18.8,6,33.33,18,23,135
-4500,42,6.6,36.52,15,7114,No,Large Cities,52.06,8,11.11,21,23,135
377,100,6.6,34.94,15,229,No,Large Cities,100,1,0,4,23,135
1047,26,6.6,25.2,19.7,7027,No,South West,12.48,14,7.14,16,19,107
-2793,96,6.7,38.77,5.6,20234,No,East,44.8,14,8.33,26,30,138
-714,79,6.7,50.15,6.8,1280,No,South West,96.02,6,0,13,39,86
224,118,6.7,26.11,7.7,1293,No,East,21.37,9,0,12,37,134
346,133,6.7,22.64,19.7,4631,No,South East,4.74,8,0,11,21,129
-3811,105,6.7,25.46,19.7,1528,No,South East,12.19,9,0,18,36,153
298,109,6.7,18.55,19.7,720,No,Large Cities,27.14,7,0,7,29,138
807,96,6.8,15.56,10.7,738,No,Large Cities,40.5,2,0,11,21,86
290,57,6.8,33,15,406,Global,Large Cities,100,1,0,2,23,135
823,28,6.8,21.31,19.7,1237,No,East,9.09,7,40,12,20,146
379,163,6.9,24.16,5.7,477,No,South East,16.91,5,33.33,15,27,95
1081,124,6.9,47.82,10.5,12051,Global,South West,30.87,12,20,30,20,94
484,148,6.9,29.63,19.7,1403,No,South East,27.61,9,0,6,24,120
-4500,7,6.9,40.58,19.7,4110,No,West,34.54,11,0,10,29,86
-4500,94,7,26.45,2,3477,No,West,14.31,9,0,11,,27
-165,5,7,30.97,2,9692,No,South East,24.36,12,5.26,20,,
469,46,7,29.59,2.3,2764,No,West,19.73,4,33.33,14,14,19
-106,47,7,32.52,3,695,No,North,65.04,1,0,7,46,207
1512,98,7,18.2,8.3,5037,No,North,5.1,15,0,18,,
-1854,1,7,40.26,8.3,2802,No,North,59.52,8,0,13,,
353,44,7,28.79,15,1872,Brand,Large Cities,28.25,2,40,12,23,135
1150,122,7,24.37,19.7,4009,No,South East,7.8,11,0,10,40,208
-186,41,7,47.15,19.7,1169,No,South East,71.88,4,0,9,40,208
266,89,7,50,19.7,213,No,North,96,4,0,13,30,102
322,59,7.1,33.28,7.7,6235,No,South West,18.21,13,9.09,14,34,105
282,103,7.1,36.77,19.7,5782,Global,South East,4.18,13,9.09,12,40,208
-1656,12,7.1,24.39,19.7,3809,No,South East,9.92,8,0,16,21,129
372,82,7.2,25.28,6.7,5827,No,West,21.35,13,18.18,18,22,48
310,161,7.2,30.67,8.3,4984,No,North,23.16,12,20,20,,
-1156,154,7.2,25.69,19.3,1544,No,West,18.12,7,0,14,30,93
-1941,2,7.3,35.2,3.4,403,No,West,61.89,3,0,12,50,95
-186,80,7.3,31.13,10.4,2773,Brand,East,42.11,4,0,10,37,124
-416,28,7.4,25.07,2.1,3304,No,North,21.21,10,20,21,,
-1780,66,7.4,34.85,19.7,7932,Global,Large Cities,53.7,10,0,14,29,138
668,87,7.5,26.11,3,2230,No,North,40.03,12,0,11,50,223
-917,52,7.5,28.3,19.7,4770,No,South East,26.28,6,10,20,21,113
383,68,7.5,40.37,19.7,319,No,West,100,2,0,10,29,86
324,153,7.6,12.08,2,393,No,North,40.26,3,0,4,,67
-4500,77,7.6,36.28,2.1,5248,No,North,42.44,10,0,17,,
806,96,7.6,21.36,19.7,1126,No,West,20.53,4,0,8,29,86
-804,95,7.6,24.43,19.7,1998,No,South East,25.75,10,14.28,8,40,208
-748,37,7.7,31.44,2.7,5717,No,East,19.45,8,0,23,27,56
-463,84,7.7,37.93,3,1548,Brand,North,49.05,9,0,13,50,223
38,73,7.7,31.05,19.3,10573,No,West,25.53,14,6.66,19,30,93
814,70,7.8,26.55,3,4057,No,North,6.68,11,8.33,15,46,207
-4500,32,7.8,50,10.5,152,No,South West,100,1,0,13,20,94
-2535,70,7.8,31.74,19.5,7143,No,South West,34.68,14,20,18,31,101
-1140,102,7.8,30.4,19.7,11789,No,South East,26.94,12,23.07,25,21,113
-659,142,7.8,38.65,19.7,6061,Global,South East,32.25,13,0,10,40,208
-256,78,7.9,45.64,3.3,842,Global,North,100,1,0,7,61,98
368,94,7.9,18.64,4.9,336,No,North,43.47,2,0,7,50,135
2640,141,7.9,32.8,7.6,14907,No,Large Cities,22.04,17,26.92,65,24,84
522,100,7.9,46.32,7.7,1811,Global,South West,38.2,6,0,13,34,105
-62,128,7.9,29.85,10.7,188,Global,Large Cities,100,1,100,10,21,86
-716,145,8,26.73,4.6,1948,No,West,19.13,9,0,4,0,44
-97,120,8,50,5.7,1011,Global,South East,100,1,0,6,27,95
-120,19,8,36.01,19.7,1693,No,South East,24.74,13,0,8,40,208
-2337,21,8,46.41,19.7,5535,Brand,South East,71.93,3,12.5,35,21,113
404,130,8.2,30.22,3.5,5156,No,South West,19.31,13,6.66,26,53,81
-1006,148,8.3,50,4.7,1011,No,Large Cities,100,1,0,8,42,124
-3281,11,8.3,30.99,7.4,5554,No,Large Cities,24.19,11,4.54,24,32,144
-1160,75,8.3,27.41,19.5,2534,No,South West,22.16,9,16.66,11,31,101
-575,163,8.3,24.16,19.7,1456,No,Large Cities,15.26,12,0,12,24,108
93,54,8.4,21.12,7.4,1632,No,Large Cities,9.6,9,0,11,32,144
115,120,8.4,16.13,19.7,707,No,South East,24.17,6,25,8,40,208
42,7,8.4,46.96,19.7,402,No,South East,33.64,2,0,24,21,113
-1756,123,8.5,30.45,3.6,5382,No,Large Cities,45.53,13,0,14,61,178
-1952,24,8.5,41.98,19.7,1785,Global,South East,14.57,11,0,10,40,208
-1536,21,8.6,27.61,2.3,5701,No,West,21.64,12,27.27,12,14,19
885,16,8.6,24.93,3.4,1099,No,West,12.34,5,0,12,50,95
153,134,8.7,24.01,5.6,6454,No,East,8.84,11,0,11,30,138
1110,142,8.7,27.7,19.7,5146,No,West,12.41,9,18.18,21,36,105
1861,124,8.7,22.93,19.7,6478,No,South East,15.35,10,9.09,12,40,208
-756,108,8.7,26.34,19.7,836,No,South East,21.49,6,0,8,36,153
-183,137,8.8,28.82,3.5,3005,No,South West,28.66,6,14.28,12,53,81
212,97,8.8,35.24,3.5,226,No,South West,91.4,4,0,12,34,117
29,16,8.8,33,5.6,406,No,East,100,1,0,4,30,138
1085,87,8.8,23.55,10.4,4336,No,South East,2.44,12,16.66,15,30,158
-1666,105,8.8,65.88,10.5,292,Global,South West,33.4,1,0,9,20,94
-2710,150,8.8,36.42,19.7,4011,No,South East,23.25,10,25,10,36,153
-4500,149,8.8,46.55,19.7,4023,Brand,West,28.03,15,0,14,29,86
92,138,8.9,49.04,7.4,240,No,Large Cities,100,1,100,9,32,144
144,56,8.9,25.98,7.6,2449,No,Large Cities,16.23,9,0,9,24,84
1257,4,8.9,44.5,16.5,1986,Brand,East,32.96,6,0,16,40,129
-2278,159,8.9,29.1,19.7,229,No,West,65.43,2,0,2,43,133
492,129,9,24.39,19.7,1342,No,South East,7.85,9,33.33,13,38,136
-50,67,9,26.42,19.7,1345,No,South East,13.78,6,0,11,38,136
741,11,9.1,23.47,5.7,939,No,South East,31.54,6,25,13,27,95
-4500,31,9.2,27.31,19.3,6111,No,West,14.26,12,0,20,30,93
-856,135,9.2,26.57,19.7,2558,No,South East,7.77,8,0,21,36,153
785,30,9.2,25.94,19.7,4291,No,West,20.35,11,20,13,29,86
132,9,9.2,27.18,19.7,2545,No,South East,23.41,8,12.5,14,38,136
1523,154,9.2,26.15,19.7,7402,No,Large Cities,25.21,13,8.33,16,24,108
-4500,122,9.2,31.21,19.7,22208,Brand,East,25.86,13,3.57,36,21,95
-1707,87,9.2,30.9,19.7,854,No,Large Cities,32.18,4,0,13,29,138
135,29,9.3,22.16,2.1,330,No,North,89.15,3,0,12,,
125,17,9.3,23.99,19.7,1850,No,South East,6.18,10,0,14,21,129
543,51,9.4,36.17,3.6,1242,Brand,Large Cities,95.07,3,0,8,61,178
205,90,9.4,36.64,4,2351,No,Large Cities,7.33,6,0,12,37,156
382,68,9.4,23.94,6.8,2077,No,South West,9.38,5,14.28,25,39,86
-1313,59,9.4,27.77,7.4,4140,No,Large Cities,26.07,8,0,17,32,144
72,4,9.5,47.9,2.3,397,No,West,34.9,3,0,4,14,19
646,92,9.5,33.24,7.4,721,No,Large Cities,35.27,5,0,14,32,144
-4412,159,9.5,32.6,7.4,5752,No,Large Cities,56.18,6,9.09,19,32,144
-405,103,9.5,24.93,10.7,575,No,Large Cities,38.85,2,25,26,21,86
304,46,9.5,43.96,19.7,116,No,South West,100,1,0,7,51,111
203,163,9.6,25,2.1,267,No,North,100,2,0,12,,
-146,50,9.6,21.76,3,762,No,North,15.07,2,0,11,50,223
-501,72,9.6,27.31,4,1131,No,Large Cities,59.33,7,0,4,37,156
587,142,9.6,18.75,8.3,377,No,North,56.55,3,0,4,,
-1145,79,9.6,32.73,19.7,793,Brand,South East,59.59,4,0,11,36,153
252,74,9.7,50,2.3,255,No,West,49.9,1,0,7,14,19
-32,137,9.7,36.8,3,2577,Brand,North,17.41,7,11.11,19,50,223
1339,7,9.7,27.11,4.9,4118,No,North,25.11,12,0,9,50,135
126,123,9.7,50,10.5,511,No,South West,100,3,0,14,20,94
-130,49,9.7,28.88,15.9,800,No,East,52.84,2,25,16,34,115
-3624,78,9.7,29.39,19.7,2203,No,Large Cities,39.79,8,0,11,29,138
3029,55,9.8,30.61,10.4,17078,No,South East,1.25,12,7.14,20,30,158
1197,92,9.9,23.95,3.3,4165,No,North,22.1,13,0,16,61,98
-2324,137,9.9,50,4.7,193,No,Large Cities,100,2,0,9,42,124
-2342,67,9.9,34.29,4.9,1094,No,North,55.1,5,0,7,50,135
11,26,9.9,30.1,15.9,137,No,East,100,1,0,7,34,115
-958,33,9.9,26.65,19.5,4411,No,South West,5.88,8,0,21,31,101
1575,157,9.9,21.84,19.7,3234,No,South East,3.51,4,30,11,30,120
33,160,9.9,47.16,19.7,410,No,South East,68.36,7,0,12,38,136
-536,56,10,26.42,4.9,2548,No,North,44.87,8,11.11,11,50,135
197,55,10,24.54,19.7,5660,No,West,26.05,11,22.22,10,36,105
508,74,10,29.87,19.7,1075,No,Large Cities,27.24,3,0,8,24,78
-643,45,10,35.88,19.7,881,No,North,82.67,5,0,17,30,102
-2073,112,10.1,31.25,19.7,3844,No,South East,35.61,13,0,13,21,129
805,31,10.1,18.04,19.7,318,No,East,100,1,0,7,32,115
-1370,91,10.2,32.68,3.5,2719,No,South West,35.56,5,0,14,53,81
245,126,10.2,41.4,10.7,532,No,Large Cities,85.8,2,0,17,21,86
1766,116,10.2,26.77,15.9,3370,No,East,17.31,9,0,16,34,115
419,125,10.3,50,2.2,303,No,South West,100,1,0,8,0,
-401,139,10.3,22.45,19.7,625,No,South East,24.93,1,0,7,40,208
-259,6,10.4,40,2.3,1455,No,West,100,1,50,3,14,19
358,108,10.4,21.91,3.5,2890,No,South West,16.15,12,0,11,34,117
-1760,97,10.5,31.86,2.1,1638,No,North,35.28,5,50,9,,
-283,6,10.5,50,10.4,791,Global,East,100,1,0,1,37,124
-2661,44,10.5,24.92,15.9,1274,No,East,31.5,4,12.5,17,34,115
-2772,7,10.5,26.94,19.7,3682,No,South East,9.87,8,0,13,21,129
153,37,10.5,33.61,19.7,1272,No,South East,52.89,4,0,12,21,129
-1,40,10.6,23.93,2.1,3207,No,North,19.56,12,11.11,16,,
-143,19,10.6,41.45,10.4,565,No,East,46.58,2,0,12,37,124
-1064,153,10.6,26.5,10.7,2335,No,Large Cities,29.54,6,12.5,15,21,86
359,89,10.6,34.78,19.7,2282,No,South East,4.93,10,0,16,36,153
-621,129,10.6,29.53,19.7,12931,No,South East,6.16,12,0,15,21,129
-1334,60,10.6,27.45,19.7,3342,No,Large Cities,35.36,13,28.57,26,24,78
-538,24,10.7,45.4,3,1986,No,North,78.53,5,0,12,46,207
-164,71,10.7,23.29,19.7,3016,No,South West,10.34,9,0,11,19,107
151,151,10.8,42.5,3.4,7963,No,West,38.42,13,7.69,22,50,95
14,36,10.8,34.97,19.7,8443,Brand,South East,26.6,13,12.5,16,21,129
643,8,10.8,28.35,19.7,1834,No,South East,41.41,7,40,9,40,208
-1,66,10.8,35.54,19.7,1155,No,North,48.76,4,0,18,30,102
-240,48,10.9,23.05,4.7,277,No,Large Cities,0.23,6,50,21,42,124
-522,143,10.9,29.79,19.3,436,Global,West,30.67,2,0,7,30,93
81,95,10.9,22.37,19.5,576,No,South West,2.02,2,0,6,31,101
-2450,66,10.9,28.38,19.7,1239,No,South East,11.12,6,0,11,36,153
-63,135,10.9,22.11,19.7,2744,No,South East,15.54,10,0,6,21,113
748,32,10.9,24.48,19.7,2177,No,South East,33.32,7,0,16,30,120
173,101,10.9,29.91,19.7,1307,No,South East,52.81,5,0,11,30,120
343,41,11,38.87,2.2,2289,No,South West,32.15,6,20,19,0,
266,125,11,42.48,4,823,No,Large Cities,34.8,4,0,10,37,156
-1341,5,11,22.93,6.7,3794,No,West,39.93,9,0,11,22,48
1236,25,11,30.38,19.7,16340,No,South East,10.85,16,5.55,15,21,129
-2464,64,11,31.46,19.7,12941,No,East,18.2,14,5,29,21,95
275,162,11,40,19.7,243,No,West,100,1,0,6,43,133
-65,134,11.2,26.93,2.2,1842,No,South West,42.42,8,0,10,0,
151,20,11.3,27.82,2.1,1891,No,North,34.15,6,0,17,,
-4500,126,11.3,32.38,3.5,645,No,South West,53.24,6,0,10,34,117
-2722,156,11.3,29.58,8.3,3058,No,North,13.26,9,22.22,11,,
619,100,11.3,30.36,19.7,344,No,North,45.74,3,0,11,30,102
1177,92,11.4,38.43,2.7,16048,No,East,23.84,14,13.33,22,27,56
-332,22,11.4,50,4.7,1213,Global,Large Cities,100,1,0,7,42,124
587,105,11.4,23.05,10.7,644,No,Large Cities,49.32,3,0,15,21,86
626,28,11.4,19.85,15,646,Brand,Large Cities,12.51,3,0,7,23,135
-1743,68,11.4,40.78,19.7,10187,Global,South East,18.01,16,33.33,13,38,136
655,67,11.4,12.88,19.7,534,No,Large Cities,29.36,3,0,7,24,108
836,154,11.4,30.61,19.7,1269,No,South East,49.15,6,0,9,40,208
-173,1,11.4,48.17,19.7,652,No,West,96.34,2,0,3,43,133
423,153,11.4,40,19.7,234,No,South East,100,2,0,1,40,208
498,49,11.5,27.8,4.7,322,No,Large Cities,22.59,2,0,9,42,124
-4500,2,11.5,30.52,19.7,8036,No,Large Cities,41.29,14,0,14,29,138
1936,131,11.6,28.75,5.7,17407,No,South East,20.98,14,0,34,27,95
-1001,35,11.6,25.97,7.6,4144,Global,Large Cities,12.32,8,0,16,24,84
-1805,10,11.6,33.68,8.3,2372,Brand,North,23.32,10,0,9,,
356,112,11.6,16.16,19.7,1219,No,East,9.96,9,0,11,20,146
270,17,11.6,28.35,19.7,1261,No,North,20.76,7,20,20,30,102
162,13,11.6,29.4,19.7,718,No,South East,58.93,2,0,12,21,129
-2786,151,11.8,32.71,3,985,Brand,North,13.59,6,0,10,46,207
-142,29,11.8,24.54,19.7,1156,No,South East,20.2,9,0,7,40,208
712,55,11.9,27.08,3.5,8524,No,South West,36.31,14,26.08,20,34,117
-100,141,11.9,50,5.7,606,No,South East,100,1,0,9,27,95
638,86,11.9,28.56,19.7,10499,No,East,16.54,14,0,25,21,95
1814,76,12,24.98,19.7,3299,No,West,15.46,8,12.5,14,43,133
-1123,79,12,25.64,19.7,1499,No,East,73.95,3,0,7,32,115
906,70,12.1,31.35,5.6,12621,No,East,22,12,9.09,15,30,138
261,81,12.2,24.32,2,1776,No,North,30.89,9,0,14,,67
-454,130,12.2,45.6,19.7,229,No,Large Cities,91.21,2,0,9,24,108
826,9,12.3,30.73,4.9,1154,REGIONALE,North,15.05,7,0,10,50,135
-31,140,12.3,33,15,406,No,Large Cities,100,1,0,6,23,135
-4500,19,12.4,54.27,3,936,No,North,10.06,9,0,7,50,223
120,43,12.4,29.33,19.7,6652,No,South East,21.26,13,18.18,17,38,136
230,160,12.4,24.97,19.7,1514,No,South East,28.46,4,0,14,40,208
114,37,12.5,27.14,19.7,475,No,South West,61.71,1,0,11,19,107
305,122,12.6,50,4.7,404,Global,Large Cities,100,1,0,6,42,124
-230,76,12.6,36.03,5.6,1573,No,East,36.66,6,0,11,30,138
635,82,12.6,16.97,19.7,1477,No,East,13.71,8,0,11,20,146
-1035,127,12.6,41.2,19.7,2647,No,South East,46.75,9,9.09,15,36,153
-374,138,12.7,31.48,3.5,2483,No,South West,56.24,11,16.66,22,34,117
260,39,12.7,38.69,19.7,1963,No,Large Cities,29.99,10,16.66,13,29,138
2168,34,12.8,21.44,7.6,4891,No,Large Cities,15.59,12,0,15,24,84
437,77,12.8,33.3,19.7,2291,No,Large Cities,26.41,12,0,12,29,138
-456,131,12.9,50,3.5,808,Global,South West,100,1,0,13,53,81
2898,113,12.9,28.81,5.7,10779,Global,South East,22.84,14,7.69,26,27,95
850,133,12.9,31.77,15,891,No,Large Cities,16.6,4,0,10,23,135
-1458,80,12.9,30.47,19.5,7117,Brand,South West,27.45,11,9.09,15,31,101
771,110,12.9,29.27,19.7,913,No,East,8.43,5,0,8,20,146
-492,88,12.9,50,19.7,606,No,Large Cities,100,1,0,6,29,138
277,43,12.9,50,19.7,152,No,North,100,1,0,8,30,102
-860,52,13,30.22,7.7,734,No,East,51.33,3,0,18,37,134
296,50,13,19.14,19.7,722,No,West,11.31,6,0,3,36,105
653,85,13,24.07,19.7,1473,No,West,11.38,5,20,11,29,86
194,114,13,29.55,19.7,932,No,South East,53.47,6,0,13,36,153
1655,40,13.1,21.33,19.7,4336,No,South West,15.15,8,0,9,51,111
-620,11,13.2,49,10.4,1385,No,South East,93.44,9,0,11,30,158
2621,115,13.3,33.76,2,18259,Global,Large Cities,10.42,11,11.76,21,23,135
107,48,13.3,50,5.7,606,Global,South East,100,1,0,11,27,95
-776,74,13.4,22.62,4.9,1642,No,North,5.64,5,40,13,50,135
199,27,13.4,50,6.8,37,Global,South West,100,1,0,10,39,86
452,53,13.4,50,6.8,67,Global,South West,100,1,0,1,39,86
500,31,13.4,29.91,10.4,424,Global,South East,100,1,0,6,30,158
202,56,13.4,41.38,15.9,313,No,East,71.4,2,0,9,34,115
253,86,13.5,35.1,2.3,682,No,West,64.54,3,0,5,14,19
-1270,5,13.6,29.98,15,2123,Global,Large Cities,100,1,0,17,23,135
41,67,13.6,50,15.9,190,No,East,100,1,100,9,34,115
311,58,13.6,23.34,19.7,4069,No,South East,5.22,13,23.07,17,21,113
601,76,13.6,46.55,19.7,403,No,South East,50.53,4,0,13,36,153
-1132,63,13.6,50,19.7,842,Global,South East,100,1,0,8,36,153
-4500,146,13.7,32.55,2.1,2818,No,North,18.59,11,0,17,,
-97,31,13.7,50,3.5,606,Global,South West,100,1,0,4,34,117
-514,91,13.7,29.95,5.6,849,Global,East,100,1,0,2,30,138
163,142,13.7,30.01,10.7,471,Global,Large Cities,100,1,0,6,21,86
-4500,8,13.7,30.6,15,9398,Global,Large Cities,69.07,3,0,21,23,135
-1807,78,13.7,21.09,19.7,1317,No,South East,10.78,6,0,13,24,120
-46,20,13.7,22.11,19.7,1342,No,Large Cities,15.14,6,0,12,24,78
170,121,13.8,40.89,2.7,876,No,East,81.84,1,0,9,27,56
-769,54,13.8,44.58,3.5,973,No,South West,96.42,2,20,16,34,117
-4338,90,13.8,39.06,4.6,12181,Brand,West,38.6,11,0,13,0,44
100,44,13.8,29.91,10.4,424,Global,South East,100,1,0,9,30,158
-300,55,13.8,50,10.7,808,Global,Large Cities,100,1,0,7,21,86
-2513,65,13.8,39.97,19.7,2739,No,West,9.66,10,0,13,29,86
-250,45,13.8,30.73,19.7,1181,No,South East,14.48,7,0,15,36,153
190,32,13.8,27.7,19.7,535,No,West,100,1,0,8,36,105
384,154,13.9,17.64,3.3,1008,Global,North,35.29,1,33.33,9,61,98
-511,98,13.9,50,3.5,808,Global,South West,100,1,0,7,34,117
-59,93,13.9,34.78,3.6,1472,Global,Large Cities,49.26,1,0,6,61,178
-4500,58,13.9,53.5,6.8,4476,Global,South West,100,3,0,14,39,86
-1335,3,13.9,27.53,10.4,12271,No,East,13.96,12,21.42,23,37,124
867,110,13.9,27.67,19.7,1377,No,Large Cities,44.98,7,0,13,29,138
-265,156,13.9,50,19.7,876,Global,South East,100,1,0,9,36,153
-4500,32,14,32.12,2,6295,No,North,17.81,11,20,12,,67
-2085,79,14,27.74,2.1,1479,No,North,45.09,7,33.33,16,,
-264,139,14,26.34,4.9,5098,No,North,14.04,9,0,13,50,135
-1322,149,14.1,27.76,2,4704,No,North,40.23,12,15.38,13,,67
-1634,105,14.1,30.02,15.9,4475,No,East,31.96,8,7.14,22,34,115
1001,101,14.3,27.15,4.7,1057,No,Large Cities,22.79,5,0,11,42,124
204,73,14.3,26.57,7.7,2194,No,South West,31.76,4,0,10,34,105
642,88,14.3,33.65,10.4,1703,Brand,East,21.26,9,0,6,37,124
-77,25,14.3,71.5,15.9,5348,No,East,13.24,10,0,16,34,115
1695,119,14.3,22.08,19.5,4177,Global,South West,5.45,11,0,11,31,101
