Sales Increase,Date,Years of Servicing Client,Overall Discount,Sales Rep Seniority,Sales Client per month,Family Brand,Region,% product demonstration,Nb of Brands,Nb Orders with litigation,Nb of visits to client,Clients Visited per m by SalesRep,Nb clients per SalesRep
-1386,23,14.3,26.71,19.7,8071,No,South East,7.43,14,14.28,7,38,136
160,20,14.4,20.84,19.7,1656,No,East,7.02,9,16.66,12,21,95
612,48,14.4,23.24,19.7,502,No,West,46.48,1,0,4,36,105
41,157,14.5,40.2,3,23799,Brand,North,26.41,7,8.33,20,50,223
566,74,14.5,0,6.8,307,No,South West,100,5,0,3,39,86
-269,85,14.5,50,6.8,486,Global,South West,100,1,0,4,39,86
963,2,14.5,23.16,8.3,1330,No,North,17.46,3,0,9,,
-1107,66,14.5,20.76,10.4,1774,No,East,5.26,6,0,9,37,124
812,104,14.5,28.55,19.7,7668,No,East,17.68,12,7.69,20,21,95
764,89,14.6,35.47,19.7,3652,Global,South West,4.46,5,0,16,19,107
1841,66,14.6,27.04,19.7,7058,No,South West,26.4,13,20,15,51,111
45,56,14.7,25.61,19.7,3189,No,South East,10.97,14,10,15,40,208
-3805,156,14.8,48.8,2.3,448,No,West,42.62,5,0,10,14,19
512,88,14.8,41.99,7.7,1931,No,South West,52.99,10,0,14,34,105
248,81,14.8,31.5,19.5,1261,No,South West,13.85,6,0,8,31,101
-1033,56,14.8,30.04,19.5,2047,No,South West,49.71,4,0,14,31,101
259,34,14.9,23.93,5.6,1843,No,East,11.22,9,0,10,30,138
-628,121,15,26.08,4,2681,No,Large Cities,31.41,10,0,9,37,156
253,153,15,22.21,4.6,3179,No,West,18.02,10,11.11,11,0,44
1219,163,15.1,35.03,19.7,2652,No,South East,17.56,7,0,23,21,113
-1744,10,15.2,24.94,4,1826,No,Large Cities,34.14,8,0,8,37,156
-4500,155,15.2,38.19,8.3,4496,Brand,North,10.81,16,0,23,,
-850,69,15.2,31.45,19.3,8324,Global,West,35.47,12,0,11,30,93
-30,111,15.2,26.75,19.5,3003,No,South West,48.59,9,25,12,31,101
-488,81,15.2,24.53,19.7,2581,No,West,15.28,11,12.5,11,36,105
858,80,15.3,27.71,3.4,4448,No,West,3.81,12,8.33,19,50,95
-82,61,15.3,9.53,19.7,655,No,Large Cities,26.53,4,0,12,24,108
-2466,135,15.5,28.24,15,4052,No,Large Cities,16.27,12,11.11,22,23,135
152,29,15.5,34.84,15.9,675,Global,East,24.9,4,50,13,34,115
-58,146,15.5,27.82,19.7,900,No,South East,27.45,2,0,10,24,120
61,61,15.6,22.76,2,2805,No,South East,0.23,9,0,12,,
186,58,15.6,30,4.9,126,No,North,100,1,0,8,50,135
-25,118,15.7,41.91,19.7,1494,No,South East,49.22,8,0,9,40,208
824,158,15.8,18.83,4,629,No,Large Cities,26.83,3,0,7,37,156
-4500,54,15.8,40.22,19.7,24646,Brand,East,48.51,15,14.81,40,20,146
-540,157,15.9,28.96,19.7,1847,No,South East,36.52,10,0,7,40,208
-2354,26,16,12.69,3.6,963,No,Large Cities,23.75,3,0,4,61,178
-4166,137,16,43.87,19.7,16090,No,South East,30.38,20,46.66,13,38,136
-608,71,16.1,34.53,2,4088,No,West,45.39,8,0,4,,27
-121,134,16.2,25.49,4,4605,No,Large Cities,13.78,9,11.11,14,37,156
-2544,7,16.2,32.48,4.7,2666,No,Large Cities,37.31,8,0,25,42,124
-122,69,16.4,22.61,19.7,5639,No,South East,19.15,11,7.14,13,30,120
902,13,16.5,20.98,2,2158,No,North,6.58,3,16.66,10,,67
-786,84,16.5,23.28,15.9,2352,No,East,28.22,8,0,17,34,115
-1712,8,16.5,42.26,19.7,10040,REGIONALE,South East,35.16,12,0,31,36,153
-340,110,16.6,26.55,5.7,4120,No,South East,31.81,11,12.5,26,27,95
852,135,16.6,28.85,19.5,1985,No,South West,23.5,3,0,12,31,101
244,1,16.6,28.19,19.7,433,No,South East,40.39,4,0,7,40,208
414,30,16.7,34.69,5.6,9100,Global,East,20.03,16,15.38,15,30,138
287,8,16.7,33.83,6.7,10132,Global,West,25.27,11,0,17,22,48
-1150,102,16.7,34.22,14.6,3497,Global,South West,37.23,7,0,9,27,74
187,28,16.7,50,19.5,299,No,South West,100,1,0,4,31,101
348,113,16.9,21.65,2,2333,No,South East,17.03,12,0,8,,
-813,35,16.9,26.53,15.9,2605,No,East,50.46,9,0,17,34,115
-861,30,17,26.07,2.1,567,No,North,33.5,5,0,10,,
-1099,88,17,35.32,3,2336,Brand,North,23.13,9,14.28,15,46,207
191,158,17,23.94,3.5,4708,No,North,23.74,7,11.11,20,55,99
-626,35,17,45.47,3.5,572,No,South West,95.04,5,0,13,34,117
-419,30,17,45.32,10.5,1239,Global,South West,87.6,7,0,10,20,94
836,126,17,26.18,19.7,4721,No,South East,27.25,13,18.18,13,40,208
-821,78,17.1,23.5,5.6,4553,No,East,30.63,15,28.57,13,30,138
-251,24,17.2,50,19.5,325,No,South West,100,2,0,11,31,101
395,119,17.3,23.8,19.7,1527,No,South East,7.42,10,0,7,40,208
329,28,17.3,24.46,19.7,281,No,South East,55.76,2,0,8,24,120
-175,45,17.5,2.59,19.7,825,No,Large Cities,17.35,5,0,17,24,78
430,96,17.5,23.33,19.7,2711,No,South East,18.17,10,0,12,40,208
1084,151,17.6,29.56,2,7072,No,South East,28.62,8,22.22,11,,
-1763,140,17.7,48.55,2.2,1919,No,South West,100,2,50,7,0,
113,92,17.8,24.8,2.3,567,No,West,78.65,3,50,4,14,19
-380,152,17.8,32.85,7.6,1353,No,Large Cities,82.13,3,0,10,24,84
4891,15,17.8,24.97,7.7,6905,No,East,24.62,10,0,26,37,134
1343,129,17.8,32.21,10.4,3143,Brand,East,7.87,11,8.33,17,37,124
-841,97,17.9,50,2.3,1044,Global,West,100,1,0,4,14,19
601,102,17.9,18.19,3.3,1825,No,North,0.23,7,33.33,8,61,98
-1573,158,17.9,30.66,19.7,2404,Brand,South East,28.58,7,0,14,40,208
-665,14,18,33.56,3.3,6677,No,North,35.51,11,0,20,61,98
-300,81,18,50,5.6,808,Global,East,100,1,0,3,30,138
730,83,18,24.89,6.7,3708,Global,West,6.67,10,16.66,16,22,48
213,47,18,31.97,19.3,9471,Global,West,25.71,12,0,15,30,93
825,99,18.2,28.18,3,3654,Brand,North,3.15,8,20,17,50,223
-1406,44,18.2,26.59,3.3,3616,No,North,15.76,8,10,19,61,98
-3065,3,18.2,36.02,8.3,3067,No,North,30.11,5,0,16,,
3853,10,18.2,30.72,19.7,7912,Brand,East,21.27,12,33.33,20,32,115
-8,40,18.3,23.15,19.7,6307,No,Large Cities,12.56,13,5,27,29,138
512,72,18.4,37.02,19.7,9316,Global,South West,12.52,13,7.14,21,19,107
401,148,18.5,33,5.7,406,No,South East,100,1,0,13,27,95
-69,15,18.5,28.58,19.7,1309,No,South East,31.26,7,0,11,21,129
-1776,75,18.6,22.64,4.6,526,No,West,54.41,4,0,3,0,44
-466,32,18.6,23.14,5.6,2049,Brand,East,19.65,9,14.28,13,30,138
733,43,18.6,15.34,12.4,535,No,South West,46.67,6,0,5,34,79
362,42,18.6,23.18,19.7,487,No,East,92.74,2,0,6,32,115
-4500,23,18.8,31.92,2,1565,No,North,49.35,9,0,11,,67
24,121,18.8,22.64,6.8,2879,No,South West,9.64,9,0,18,39,86
-333,132,18.8,22.59,19.7,1535,No,Large Cities,19.81,6,0,14,24,78
-361,138,18.8,24.95,19.7,4691,No,South East,24.32,8,18.18,17,21,129
-2218,89,18.9,31.36,4.6,4796,No,West,25.9,11,0,12,0,44
89,90,19,46.59,3.5,259,No,South West,95.26,1,50,10,34,117
319,17,19,3.63,3.5,53,Global,South West,100,1,0,11,34,117
-4500,133,19,39.7,16.5,10909,Brand,East,33.45,10,5.26,22,40,129
199,33,19.1,26.07,19.7,3436,No,East,11.84,6,0,21,21,95
1456,126,19.3,18.23,5.6,2422,No,East,44.17,8,0,13,30,138
-1282,16,19.6,26.74,4,630,No,Large Cities,29.33,6,0,6,37,156
-569,134,19.6,26.14,5.7,3898,No,South East,23.76,6,11.11,21,27,95
22,88,19.6,20.66,6.7,1674,No,West,5.11,8,16.66,11,22,48
581,29,19.6,24.08,19.7,854,No,Large Cities,31.28,7,0,10,29,138
2129,4,19.7,31.39,3.6,11956,Global,Large Cities,31.02,9,50,10,61,178
-4500,18,19.7,34.34,5.6,5460,No,East,22.51,12,0,18,30,138
-4500,67,19.7,40.44,6.7,11318,Brand,West,34.84,10,20,23,22,48
-882,81,19.7,29.03,19.7,7266,No,South East,22.96,13,0,13,21,129
-1367,14,19.8,23.46,19.7,3320,No,South East,18.3,12,0,18,21,129
-2139,12,19.8,33.84,19.7,7630,Brand,East,40.46,13,7.14,18,20,146
-2606,151,19.8,41.58,19.7,680,No,Large Cities,76.22,2,0,12,29,138
1980,15,19.9,21.84,12.4,1764,No,South West,14.3,6,0,15,34,79
811,18,19.9,27.11,19.7,7315,No,West,17.79,9,25,20,43,133
-872,9,19.9,38.89,19.7,7089,No,South East,17.81,13,5.88,22,36,153
1121,79,20,21.88,2.3,4091,No,West,10.38,11,11.11,10,14,19
345,14,20.4,16.69,15,853,No,Large Cities,36.75,5,33.33,11,23,135
526,123,20.6,30.35,2,888,No,South East,26.33,5,25,8,,
-232,39,20.6,21.98,7.7,3244,No,East,19.78,7,0,16,37,134
-3207,90,20.7,29.42,2.1,2713,No,North,31,5,0,20,,
-1042,122,20.7,50,19.7,808,Global,South West,100,1,0,5,51,111
125,116,20.8,57.07,2,261,No,South East,100,1,0,4,,
242,152,20.8,24.94,3,626,No,North,25.77,7,50,12,50,223
-4500,68,20.8,31.95,3,6034,No,North,30.19,13,14.28,15,50,223
-1102,147,20.8,35.28,3,807,No,North,54.23,3,0,15,46,207
963,75,20.8,24.94,3.3,2016,No,North,20.26,13,50,14,61,98
-434,162,20.8,50,3.3,674,Global,North,100,1,0,6,61,98
-791,91,20.8,30.36,3.6,1266,No,Large Cities,48.07,9,0,11,61,178
1352,32,20.8,25.49,3.6,2460,Global,Large Cities,51.02,1,0,7,61,178
-2155,84,20.8,47.42,3.6,4757,Global,Large Cities,90.98,2,0,10,61,178
-4500,60,20.8,37.79,4.6,36812,REGIONALE,West,23.64,17,18.18,9,0,44
285,109,20.8,54.17,5.6,291,Global,East,41.12,2,100,6,30,138
359,60,20.8,50,6.8,93,Global,South West,100,1,0,2,39,86
302,113,20.8,50,6.8,191,Global,South West,100,1,0,3,39,86
349,81,20.8,25.43,7.6,1932,No,Large Cities,50.16,4,0,15,24,84
-10,105,20.8,46,8.3,3275,Global,North,100,1,0,8,,
155,71,20.8,48.09,10.7,654,No,Large Cities,96.26,2,0,9,21,86
-283,57,20.8,44.77,12.4,2161,No,South West,62.5,1,0,23,34,79
-231,156,20.8,50,15,679,No,Large Cities,100,1,0,6,23,135
1380,150,20.8,23.12,19.7,1469,No,West,5.13,7,0,12,29,86
495,64,20.8,24.94,19.7,3710,No,South West,12.97,13,9.09,17,19,107
707,57,20.8,37.73,19.7,3581,Global,South East,20.22,14,10,10,40,208
-2,86,20.8,22.26,19.7,1236,No,Large Cities,39.37,4,0,12,29,138
163,117,20.8,30.04,19.7,510,No,East,91.08,2,0,14,21,95
-100,145,20.8,50,19.7,808,REGIONALE,South East,100,1,0,13,38,136
1367,12,20.9,24.75,3,2258,No,North,8.8,10,28.57,18,50,223
663,7,21.3,32.24,16.5,14798,No,East,27.66,14,25,23,40,129
-20,60,21.3,25.13,19.7,4966,No,East,9.27,9,0,18,21,95
557,108,21.4,26.41,3,1195,No,North,28.13,7,0,11,50,223
138,159,21.4,44.03,3,338,No,North,100,1,0,5,50,223
-262,107,21.6,23.61,7.4,2180,No,Large Cities,38.07,7,0,11,32,144
-10,5,21.7,45.75,10.4,460,No,South East,43.58,5,0,6,30,158
-100,10,21.8,50,3.4,101,No,West,100,1,0,3,50,95
-2807,9,21.8,29.57,19.7,3969,Brand,East,19.45,13,0,18,20,146
-406,23,21.9,28.62,19.5,9519,No,South West,19.04,14,0,14,31,101
-651,76,22.1,23.01,3,2623,No,North,20.36,9,14.28,11,50,223
-680,112,22.2,30.09,3.5,2532,No,North,43.87,7,0,11,55,99
1704,22,22.2,22.35,6.7,3804,No,West,13.13,13,12.5,15,22,48
-380,139,22.2,32.96,15,541,No,Large Cities,100,1,0,12,23,135
620,98,22.4,21.86,19.7,3326,No,East,20.24,9,0,15,21,95
289,83,22.5,26.98,4,230,No,Large Cities,81.26,1,0,3,37,156
-221,50,22.6,50,10.5,717,No,South West,100,7,0,13,20,94
276,42,22.7,22.33,2.2,2490,No,South West,11.69,7,0,11,0,
173,44,22.8,21.06,6.7,2140,Brand,West,8.85,9,0,11,22,48
-270,104,22.8,25.6,19.7,2644,No,South East,16.48,9,0,12,24,120
1452,41,22.8,29.13,19.7,9060,No,West,27.16,14,9.09,20,36,105
449,21,22.9,24.7,3.5,1576,Global,South West,40.95,3,0,13,34,117
132,65,22.9,23.23,10.4,3526,No,East,11.94,7,0,12,37,124
267,158,22.9,48.5,19.7,259,No,South East,51.49,2,0,11,21,113
-36,4,23,27.93,19.7,3775,No,South East,25.88,13,20,16,21,113
383,92,23.5,34.66,19.7,475,No,South East,33.56,3,33.33,10,30,120
138,106,23.6,12.63,2.1,408,No,North,85.25,3,0,12,,
214,36,23.6,32.09,14.6,292,No,South West,84.88,1,0,9,27,74
-602,136,23.7,28.12,19.7,1127,No,South East,33.82,4,33.33,9,24,120
719,82,23.8,25.48,5.7,2918,No,South East,30.56,5,0,9,27,95
513,142,23.8,20.39,19.7,3486,No,South East,4.52,11,30,13,21,113
-376,150,23.9,41.21,4,271,No,Large Cities,82.46,2,0,2,37,156
-2420,68,23.9,53.05,5.6,754,No,East,29.04,4,0,16,30,138
100,155,23.9,23.36,19.7,1056,No,South East,20.5,7,0,8,40,208
-1825,141,24,33.21,3,5287,REGIONALE,North,31.98,9,0,14,46,207
-103,25,24,23.88,6.7,1469,Global,West,19.43,7,0,14,22,48
-156,65,24,20.71,7.4,1803,No,Large Cities,6.46,9,0,10,32,144
-1158,51,24.2,47.85,10.4,816,No,South East,98.85,3,0,14,30,158
636,146,24.2,15.23,19.7,1363,No,South East,25.29,7,0,11,36,153
-2061,12,24.5,32.63,6.7,4320,No,West,25.52,11,0,13,22,48
315,160,24.8,23.63,6.7,1910,No,West,21.42,6,0,13,22,48
363,67,24.8,26.94,7.7,2174,No,South West,9.61,3,0,20,34,105
-2731,50,24.8,30.26,10.7,4376,No,Large Cities,16.3,9,0,19,21,86
425,16,24.8,36.38,19.7,23768,No,South East,23.61,16,4.65,44,38,136
302,23,24.9,21.41,10.4,2741,No,East,17.33,3,0,14,37,124
345,120,25,25.77,10.4,1685,No,East,19.51,6,0,12,37,124
224,83,25.1,22.45,3,1036,No,North,10.41,10,0,9,46,207
844,42,25.2,10.5,19.7,860,No,West,10.18,5,0,9,29,86
485,26,25.3,28.95,3.5,5170,No,North,19.29,6,0,13,55,99
821,119,25.4,23.22,10.4,1468,No,South East,15.01,6,0,10,30,158
-468,144,25.4,24.95,19.7,1937,No,Large Cities,24.51,5,0,16,24,108
-1506,45,25.5,27.65,19.3,4413,No,West,34.74,9,0,11,30,93
-478,59,25.6,24.87,3.4,1516,No,West,49.85,6,20,11,50,95
-430,22,25.6,6.9,19.7,904,No,East,27.7,6,0,10,21,95
-1693,83,25.8,22.35,5.6,1834,No,East,15.38,11,0,12,30,138
-1211,58,25.9,28.75,19.3,5633,No,West,27.85,10,23.07,17,30,93
-163,95,26,20.74,3,1822,No,North,5.13,7,0,13,46,207
-466,68,26,23.52,7.6,1947,No,Large Cities,23,7,16.66,19,24,84
672,103,26,35.24,7.7,30018,Brand,South West,20.33,14,0,24,34,105
-909,73,26.2,30.42,4.9,4271,No,North,15.1,6,0,12,50,135
3894,89,26.3,25.09,15.9,10903,No,East,16.24,11,8.69,32,34,115
161,38,26.4,33.81,3.5,319,No,South West,46.38,3,0,12,34,117
476,160,26.5,26.45,2.1,1329,No,North,21.69,6,0,16,,
959,127,26.5,22.53,3.5,3404,No,South West,7.26,11,10,23,53,81
183,126,26.6,21.21,10.4,3279,No,South East,4.94,7,12.5,13,30,158
-3702,53,26.8,32.32,2.3,18534,REGIONALE,West,22.88,12,7.14,30,14,19
-2207,117,26.8,33.82,4,21772,No,Large Cities,28,10,20,48,37,156
-701,121,27,26.98,19.7,4594,Global,South East,11.98,11,28.57,8,38,136
82,43,27.2,18.99,6.7,1633,No,West,18.1,5,25,13,22,48
-2597,33,27.2,50,19.7,3836,Global,South East,100,1,0,8,38,136
-2164,115,27.3,50,10.4,303,Global,South East,100,1,0,9,30,158
-1436,128,28.1,30.65,19.7,1199,No,South East,57.4,5,0,14,40,208
-1745,146,28.3,22.64,19.7,2525,No,West,17.8,9,0,8,43,133
266,96,28.4,50,19.5,190,No,South West,100,1,0,5,31,101
221,22,28.5,28.2,3.5,3680,No,South West,40.67,8,0,15,34,117
211,51,28.6,22.65,3,2776,No,North,5.79,12,0,16,50,223
-300,90,28.8,50,5.6,808,Global,East,100,1,0,2,30,138
-44,11,28.8,30,19.7,5531,Brand,East,21.99,13,0,17,20,146
-4114,103,29,26.44,2,2172,No,North,37.31,8,0,14,,67
449,54,29.3,25.03,6.7,4455,No,West,16.36,12,0,13,22,48
137,51,29.4,26.93,2.2,1451,No,South West,20.68,5,0,11,0,
330,82,29.5,21.01,3,1368,No,North,10.38,12,0,10,50,223
1012,151,29.9,26.19,19.7,2341,No,South East,20.04,10,25,13,21,129
-2371,14,30,39.96,4.6,1612,No,West,40.6,11,0,5,0,44
354,10,30.6,29.28,19.7,442,No,South East,15.65,3,33.33,9,40,208
133,103,30.8,21.54,5.6,1912,No,East,16.37,7,0,9,30,138
512,64,30.8,21.46,19.7,322,No,West,48.9,2,0,7,29,86
34,38,31,26.88,2.1,590,No,North,26.27,6,0,15,,
846,49,31.2,22.82,3,2401,No,North,21.36,6,0,14,50,223
-363,117,31.2,25.48,7.7,3894,No,South West,15.41,13,0,12,34,105
342,159,31.2,20.23,19.7,3229,No,South East,16.36,14,0,18,36,153
1260,114,31.3,24.14,2.2,3780,No,South West,12.79,9,0,15,0,
-69,71,31.3,28.35,3,1210,No,North,21.18,6,0,13,46,207
-321,50,31.3,23.47,5.7,1855,No,South East,10.16,7,0,22,27,95
-86,36,31.3,27.23,6.7,2968,No,West,24.36,7,12.5,15,22,48
681,59,31.3,23.63,8.3,2391,No,North,10.02,9,14.28,12,,
-485,75,31.3,23.47,19.7,3977,No,South East,13.86,11,0,12,21,129
1206,38,31.3,23.69,19.7,3585,No,East,22.83,12,20,8,32,115
-94,40,31.3,26.7,19.7,4090,No,West,26.96,9,0,12,43,133
275,107,31.3,30.34,19.7,769,No,South East,34.47,6,0,10,40,208
590,147,31.3,56.98,19.7,400,No,South East,43.54,3,0,10,24,120
480,15,31.4,21.05,2,2283,No,West,10.68,6,0,7,,27
343,100,31.4,22.6,2,1366,No,South East,31.3,2,66.66,9,,
-1691,41,31.4,23.01,3,2392,No,North,13.63,7,0,14,50,223
-1210,34,31.4,31.14,3.4,5441,No,West,29.46,12,10,26,50,95
175,43,31.4,23.79,4.7,2149,No,Large Cities,6.69,10,0,20,42,124
-1805,1,31.4,21.75,5.7,1485,No,South East,5.42,7,0,20,27,95
1887,159,31.4,21.63,5.7,4274,No,South East,13.07,10,0,12,27,95
390,19,31.4,44.01,10.5,131,No,South West,100,1,0,9,20,94
-533,65,31.4,37.17,14.6,10523,Global,South West,25.72,15,10.52,20,27,74
-904,143,31.4,24.21,19.7,3434,No,South East,11.94,10,11.11,20,30,120
1386,123,31.4,24.87,19.7,3712,No,South East,14.59,11,8.33,20,21,129
217,61,31.4,36.86,19.7,20538,No,South West,16.4,13,25,37,19,107
1809,2,31.4,40.6,19.7,6936,No,South East,25.89,13,0,28,36,153
-3551,39,31.4,31.13,19.7,2860,No,South East,31.03,10,0,33,30,120
-929,101,31.4,34.03,19.7,1541,No,North,75.9,4,0,13,30,102
-407,17,31.5,22.66,10.4,3579,No,East,18.01,11,8.33,13,37,124
-1543,99,31.5,32.15,15.9,2080,No,East,4.32,9,0,14,34,115
717,35,35.7,22.94,2,769,No,North,28.35,6,0,3,,67
-1646,128,35.7,39.1,2,995,No,South East,72.94,6,33.33,7,,
-4500,54,35.7,29.18,2.1,2288,No,North,31.4,12,0,17,,
-1319,36,35.7,31.98,2.1,872,Global,North,48.9,5,0,19,,
-444,161,35.7,23.52,2.3,1417,No,West,14.67,4,0,8,14,19
-1529,87,35.7,30.08,2.3,2047,No,West,35.88,4,0,10,14,19
652,57,35.7,22.99,3,2458,No,North,16.03,13,0,14,50,223
-2635,17,35.7,34.28,3.4,14118,No,West,40.4,16,26.66,15,50,95
-1274,62,35.7,29.27,3.5,4305,No,North,26.79,11,13.33,22,55,99
-1090,107,35.7,29.94,3.5,6766,No,North,29.58,13,8.33,19,55,99
-1471,124,35.7,28.11,3.6,5910,No,Large Cities,23.55,12,12.5,15,61,178
857,64,35.7,30.03,4,2071,No,Large Cities,18.23,6,0,7,37,156
-202,106,35.7,26.96,4,1796,Brand,Large Cities,24.63,1,0,6,37,156
790,73,35.7,27.64,4,3505,No,Large Cities,36.78,3,50,6,37,156
885,2,35.7,23.11,5.6,1577,No,East,26.66,1,14.28,11,30,138
-337,55,35.7,37.17,5.6,987,Global,East,58.3,1,0,14,30,138
-2229,84,35.7,25.72,6.7,4261,Global,West,6.52,15,22.22,16,22,48
-704,129,35.7,19.88,7.4,1712,No,Large Cities,4.25,7,0,15,32,144
594,80,35.7,21.91,7.4,1457,No,Large Cities,21.65,6,0,14,32,144
907,36,35.7,24.52,7.4,1819,No,Large Cities,49.6,10,40,15,32,144
-33,104,35.7,24.7,7.6,3807,No,Large Cities,25.75,6,0,21,24,84
-446,71,35.7,26.67,7.7,6586,No,East,18.29,10,0,23,37,134
565,27,35.7,31.39,8.3,1132,Brand,North,12.59,7,40,8,,
-852,21,35.7,32.86,8.3,4481,No,North,24.1,4,0,15,,
-1234,8,35.7,22.88,8.3,465,No,North,24.33,4,0,9,,
164,154,35.7,25.69,10.4,3948,No,South East,18.7,6,0,10,30,158
-485,6,35.7,45.07,10.4,736,No,South East,42.89,1,0,9,30,158
-1069,111,35.7,29.62,10.7,3646,No,Large Cities,5.01,9,0,19,21,86
-1720,38,35.7,24.98,10.7,1747,No,Large Cities,14.19,4,20,22,21,86
-1037,128,35.7,27.29,16.5,3860,No,East,21.62,11,9.09,15,40,129
-1366,99,35.7,34.01,19.5,7617,No,South West,34.01,11,12.5,12,31,101
239,85,35.7,35.79,19.7,4038,Global,South East,12.31,16,10,10,40,208
-144,155,35.7,26.73,19.7,4291,No,Large Cities,13.14,13,11.11,20,24,78
-376,64,35.7,38.15,19.7,1859,Global,South East,14,9,14.28,9,40,208
-1476,141,35.7,28.38,19.7,4274,No,South West,14.16,9,0,15,19,107
-459,1,35.7,22.05,19.7,2867,No,East,15.56,11,14.28,9,20,146
395,72,35.7,24.27,19.7,727,No,South East,18.09,3,33.33,9,40,208
-777,139,35.7,39.73,19.7,7023,Global,South West,19.69,12,0,4,51,111
-10,125,35.7,25.22,19.7,3312,No,South East,19.85,10,0,13,21,129
1385,102,35.7,27.96,19.7,7631,No,East,21.58,12,5.88,19,20,146
-2231,2,35.7,36.14,19.7,7506,Global,South East,41.07,7,7.14,16,38,136
500,110,35.7,38,19.7,540,No,South West,70.03,5,0,8,19,107